DE1P,Date,PM2.5,PRES,RAIN,TEMP,1SPM,index,station,1d
-19.557142857142857,2013/3/1,8.047619047619047,1026.261904761905,0.0,2.461904761904762,2.5142857142857142,12.714285714285714,8,1
-15.475000000000001,2013/3/2,30.916666666666668,1026.0208333333333,0.0,0.6791666666666668,1.0625000000000002,35.5,8,2
-11.779166666666663,2013/3/3,96.0,1013.7666666666669,0.0,5.262499999999998,1.3875,59.5,8,2
-11.812499999999995,2013/3/4,23.125,1016.8249999999999,0.0,9.4375,1.7125000000000004,83.5,8,2
-7.4,2013/3/5,153.42857142857142,1009.461904761905,0.0,8.242857142857146,0.8714285714285714,108.71428571428571,8,4
-4.583333333333333,2013/3/6,207.875,1006.6791666666667,0.0,7.879166666666666,0.8291666666666667,131.5,8,1
-1.9458333333333335,2013/3/7,265.3333333333333,1001.4000000000001,0.0,9.520833333333334,1.1500000000000001,155.5,8,1
-1.7652173913043478,2013/3/8,217.47826086956522,998.4826086956521,0.0,9.882608695652172,1.7000000000000004,179.56521739130434,8,1
-11.799999999999999,2013/3/9,55.95238095238095,1005.0047619047622,0.0,8.19047619047619,3.4142857142857146,204.71428571428572,8,3
-14.075000000000001,2013/3/10,35.083333333333336,1019.8458333333336,0.0,5.291666666666667,2.1708333333333334,227.5,8,2
-7.254166666666667,2013/3/11,120.20833333333333,1012.7999999999998,0.0,5.749999999999999,1.1833333333333333,251.5,8,3
0.8875000000000001,2013/3/12,123.70833333333333,1007.9416666666666,0.27499999999999997,5.1625000000000005,1.0791666666666666,275.5,8,3
-10.552173913043477,2013/3/13,22.26086956521739,1021.8478260869565,0.0,5.095652173913043,2.026086956521739,299.8695652173913,8,2
-4.279166666666666,2013/3/14,85.58333333333333,1020.5791666666665,0.0,4.2958333333333325,1.708333333333333,323.5,8,4
-1.0173913043478262,2013/3/15,171.56521739130434,1013.582608695652,0.0,6.086956521739131,1.0043478260869565,347.0869565217391,8,4
0.5956521739130435,2013/3/16,227.2173913043478,1016.026086956522,0.0,10.117391304347828,1.3565217391304345,371.0869565217391,8,3
3.0565217391304347,2013/3/17,275.9130434782609,1000.7913043478261,0.0,10.130434782608695,0.9956521739130433,395.8695652173913,8,3
-9.921739130434782,2013/3/18,74.73913043478261,1000.0391304347828,0.0,8.756521739130434,3.5869565217391313,419.0869565217391,8,2
-2.130434782608696,2013/3/19,38.47826086956522,1007.6956521739129,0.30869565217391304,2.5391304347826087,1.4043478260869566,443.0869565217391,8,2
-2.978260869565217,2013/3/20,52.08695652173913,1016.382608695652,0.1391304347826087,1.8217391304347823,2.043478260869565,467.7391304347826,8,4
-2.021739130434783,2013/3/21,137.2173913043478,1003.6652173913045,0.0,4.3304347826086955,1.3826086956521737,491.8695652173913,8,3
-6.1375,2013/3/22,81.79166666666667,1010.7624999999998,0.0,6.908333333333335,2.3000000000000003,515.5,8,3
-7.733333333333333,2013/3/23,53.583333333333336,1007.5458333333335,0.0,5.383333333333334,2.4000000000000004,539.5,8,3
-15.635000000000002,2013/3/24,11.7,1015.675,0.0,5.409999999999999,2.1550000000000002,561.7,8,2
-7.685714285714285,2013/3/25,112.71428571428571,1011.7571428571429,0.0,7.514285714285714,1.7142857142857146,596.0,8,4
-1.5130434782608704,2013/3/26,181.69565217391303,1006.8304347826088,0.0,7.234782608695652,1.5608695652173916,611.1739130434783,8,4
-4.630434782608695,2013/3/27,87.91304347826087,1004.0826086956521,0.0,10.830434782608695,2.7478260869565214,635.304347826087,8,4
-11.612499999999999,2013/3/28,28.666666666666668,1014.5833333333334,0.0,8.4625,2.4208333333333334,659.5,8,3
-6.378260869565218,2013/3/29,84.78260869565217,1015.1608695652175,0.0,6.878260869565218,1.8434782608695652,683.8695652173913,8,3
-3.524999999999999,2013/3/30,75.45833333333333,1015.8000000000001,0.0,6.55,1.8708333333333333,707.5,8,3
2.5958333333333337,2013/3/31,174.75,1012.0625,0.0,6.066666666666666,1.3083333333333331,731.5,8,3
-5.716666666666666,2013/4/1,93.0,1010.6625,0.0,11.220833333333333,2.6333333333333333,755.5,8,1
-1.5454545454545452,2013/4/2,106.5,1010.1318181818183,0.0,11.027272727272726,2.072727272727273,779.9545454545455,8,3
-1.1434782608695653,2013/4/3,125.52173913043478,1005.6739130434786,0.0,11.839130434782609,1.739130434782608,803.2608695652174,8,4
